"","V1","V2"
"362","LINC01405","DOID:1612"
"363","ADARB2-AS1","DOID:1612"
"364","ST8SIA6-AS1","DOID:1612"
"365","DPP10-AS1","DOID:1612"
"366","CYP4B1-PS1","DOID:2370"
"367","AK124454","DOID:1612"
"368","LCAL6","DOID:3910"
"369","RP11-434D9.1","DOID:1612"
"370","BC016831","DOID:1612"
"371","IGKV","DOID:1612"
"372","NONHSAT040387","DOID:0060224"
"373","NONHSAT098586","DOID:0060224"
"374","lnc-LAMC2-1:1","DOID:9256"
"375","MIF-AS1","DOID:585"
"376","AK021954","DOID:1936"
"377","LET","DOID:4450,DOID:4362,DOID:3121"
"378","LncPPAR未","DOID:3393"
"379","CASC15","DOID:2513,DOID:769,DOID:1909"
"380","RP11-181G12.2","DOID:3910"
"381","RP11-89K21","DOID:3910"
"382","OTTHUMT00000387022","DOID:3393"
"383","FEZF1-AS1","DOID:9256"
"384","FALEC","DOID:1781"
"385","ENST00000537266","DOID:3969"
"386","HAGLROS","DOID:3969"
"387","uc.77","DOID:0050156"
"388","2700086A05Rik","DOID:0050156"
"389","PCAT2","DOID:10283"
"390","FGF14-AS2","DOID:1612"
"391","AK027294","DOID:9256"
"392","DILC","DOID:3571"
"393","RP11-395G23.3","DOID:1380"
"394","LA16c-313D11.11","DOID:1380"
"395","GFR伪","DOID:10487"
"396","LOC400891","DOID:10283"
"397","lnc-MX1-1","DOID:10283"
"398","LUNAR1","DOID:0050745"
"399","LINC00635","DOID:1324"
"400","UPAT","DOID:219"
"401","UHRF1","DOID:219"
"402","NONHSAT123350","DOID:4467"
"403","MHRT","DOID:9408"
"404","NUTF2P3","DOID:1793"
"405","LOC389641","DOID:3498"
"406","LINC01207","DOID:3910"
"407","uc001ncr","DOID:684"
"408","AX800134","DOID:684"
"409","C5T1","DOID:7148"
"410","ICR","DOID:684"
"411","ICAM-1","DOID:684"
"412","XLOC_011402","DOID:11612"
"413","ENST00000454271","DOID:11612"
"414","ENST00000433673","DOID:11612"
"415","LINC01828","DOID:11612"
"416","ENST00000432431","DOID:11612"
"417","lncRNA-HIF2PUT","DOID:9256"
"418","FENDRR","DOID:1324,DOID:3347"
"419","SGO1-AS1","DOID:1324"
"420","NR_024118","DOID:7148"
"421","53BP1","DOID:1612"
"422","RP11-284N8.3.1","DOID:2394"
"423","AC104699.1.1","DOID:2394"
"424","AC002454.1","DOID:289"
"425","AK056155","DOID:0050466"
"426","BX647187","DOID:10283"
"427","NONHSAT037832","DOID:3969"
"428","lnc-ZNF180-2","DOID:4467"
"429","linc-ITGB1","DOID:1612,DOID:3121"
"430","MVIH","DOID:1612,DOID:684"
"431","LINC01419","DOID:684"
"432","AK021443","DOID:684"
"433","AF070632","DOID:684"
"434","PCATs","DOID:10283"
"435","TRPM2-AS","DOID:10283"
"436","CECR7","DOID:684"
"437","LINC00346","DOID:684"
"438","MAPKAPK5-AS1","DOID:684"
"439","LOC338651","DOID:684"
"440","FLJ90757","DOID:684"
"441","LOC283663","DOID:684"
"442","SNHG12","DOID:3347,DOID:1380"
"443","FOXC2-AS1","DOID:3347"
"444","lncTCF7","DOID:684,DOID:3571"
"445","NONHSAG011351","DOID:9744"
"446","FAM30A","DOID:3121"
"447","RP11-567G11.1","DOID:1793"
"448","LINC01016","DOID:1612"
"449","LINC00160","DOID:1612"
"450","lncRNA-Hh","DOID:1612"
"451","lncRNA-DLEU1","DOID:1612"
"452","TP73-AS1","DOID:9538"
"453","PTPRG-AS1","DOID:1612"
"454","RASSF1-AS1","DOID:1612"
"455","DBH-AS1","DOID:684"
"456","LINC01617","DOID:9256"
"457","LOC152578","DOID:9256"
"458","LINC01507","DOID:9256"
"459","RP11-457M11.2","DOID:3910"
"460","n336934","DOID:10652"
"461","LINC01616","DOID:10652"
"462","LINC00675","DOID:3498"
"463","LOXL1-AS1","DOID:13641"
"464","LUADT1","DOID:3910"
"465","PCAT5","DOID:10283"
"466","FTH1P3","DOID:0050866"
"467","PDIA3F","DOID:0050866"
"468","GTF2IRD2P1","DOID:0050866"
"469","EGFR-AS1","DOID:684"
"470","BC002811","DOID:3069"
"471","XLOC_010967","DOID:3069"
"472","TUNAR","DOID:1612"
"473","LINC00313","DOID:1324"
"474","AOC4P","DOID:684"
"475","EGOT","DOID:1612"
"476","lncRNA-AK058003","DOID:1612"
"477","LK4P2","DOID:684"
"478","TCONS_l2_00001418","DOID:10283"
"479","TCONS_l2_00008237","DOID:10283"
"480","TCONS_l2_00011130","DOID:10283"
"481","TCONS_l2_00013175","DOID:10283"
"482","TCONS_l2_00022611","DOID:10283"
"483","TCONS_l2_00022670","DOID:10283"
"484","linc-PXN-1","DOID:10283"
"485","XR_250621.1","DOID:1612"
"486","NONHSAT125629","DOID:1612"
"487","DLX6-AS1","DOID:3910"
"488","AF339813","DOID:1793"
"489","LINC00993","DOID:1612"
"490","CCAL","DOID:9256"
"491","LINC0949","DOID:9074"
"492","RP11-445H22.4","DOID:1612,DOID:8398"
"493","LINC00261","DOID:1793"
"494","ZXF2","DOID:3910"
"495","LINC01296","DOID:9256"
"496","MIR4435-2HG","DOID:1324"
"497","APF","DOID:5844"
"498","Lnc_bc060912","DOID:1324"
"499","LNC00964-3","DOID:9256"
"500","RP11-160H22.5","DOID:684"
"501","XLOC_014172","DOID:684"
"502","LOC149086","DOID:684"
"503","PCAT29","DOID:3910,DOID:4467,DOID:684,DOID:8923,DOID:10283"
"504","RP4-583P15.10","DOID:1612"
"505","Abhd11os","DOID:12858"
"506","HIT","DOID:1612"
"507","FR0348383","DOID:10283"
"508","TCONS_00032546","DOID:0060224"
"509","TCONS_00026102","DOID:0060224"
"510","lincRNA-TSPAN8","DOID:684"
"511","RP5-1014O16.1","DOID:684"
"512","uc.343","DOID:8398"
"513","HAGLR","DOID:769"
"514","LINC01018","DOID:684"
"515","uc003wbd","DOID:684"
"516","AF085935","DOID:684"
"517","LINC00974","DOID:684"
"518","lncRNA-422","DOID:9256"
"519","HIF2PUT","DOID:3347"
"520","PMS2L2","DOID:8398"
"521","CTD-2574D22.4","DOID:8398"
"522","R05532","DOID:9256"
"523","EWSAT1","DOID:3369"
"524","ENSG00000261777","DOID:10283"
"525","PTCSC2","DOID:3969"
"526","CERNA2","DOID:2394"
"527","U79277","DOID:1612"
"528","AK024118","DOID:1612"
"529","BC040204","DOID:1612"
"530","AK000974","DOID:1612"
"531","MT1DP","DOID:3571"
"532","AC026166.2","DOID:2876"
"533","RP11-169D4.1","DOID:2876"
"534","LINC00582","DOID:1380"
"535","H1.3","DOID:2394"
"536","BC008363","DOID:3498"
"537","RCCRT1","DOID:4450"
"538","LOC283177","DOID:0050745"
"539","DIRC3","DOID:1612"
"540","NCRUPAR","DOID:9256"
"541","LCAL1","DOID:1324"
"542","LOC100132354","DOID:3910"
"543","RP11-325I22.2","DOID:3910"
"544","LOC440905","DOID:3910"
"545","SNAR","DOID:219"
"546","AF118081","DOID:1324"
"547","lnc-MBL2-4:3","DOID:0050865"
"548","lnc-STXBP5-1","DOID:0050865"
"549","CADM1-AS1","DOID:4467"
"550","CAI2","DOID:769"
"551","MIR99AHG","DOID:8692"
"552","BC017743","DOID:684"
"553","ENST00000395084","DOID:684"
"554","ZNF674-AS1","DOID:684"
"555","PRR26","DOID:684"
"556","AK056988","DOID:684"
"557","uc003yqb.1","DOID:684"
"558","LINC01080","DOID:10652"
"559","URHC","DOID:684"
"560","AK307796","DOID:9256"
"561","ENST00000425785","DOID:9256"
"562","AK021444","DOID:9256"
"563","HOXB-AS3","DOID:9256"
"564","EBIC","DOID:4362"
"565","MYCNUT","DOID:769"
"566","FOXCUT","DOID:0050866"
"567","CASC22","DOID:1612"
"568","TCONS_00018278","DOID:684"
"569","AK093543","DOID:684"
"570","D16366","DOID:684"
"571","ENST00000501583","DOID:684"
"572","BGLT3","DOID:8552"
"573","AK123657","DOID:9256"
